UF,Consumo,Mes,Ano
Goiás,355945.0,MAI,2010.0
Distrito Federal,193495.0,MAI,2010.0
Rondônia,92457.0,JUN,2010.0
Acre,31095.0,JUN,2010.0
Amazonas,165613.0,JUN,2010.0
Roraima,33656.0,JUN,2010.0
Pará,264325.0,JUN,2010.0
Amapá,42794.0,JUN,2010.0
Tocantins,63290.0,JUN,2010.0
Maranhão,226838.0,JUN,2010.0
Piauí,114994.0,JUN,2010.0
Ceará,318812.0,JUN,2010.0
Rio Grande do Norte,150904.0,JUN,2010.0
Paraíba,139294.0,JUN,2010.0
Pernambuco,391280.0,JUN,2010.0
Alagoas,101972.0,JUN,2010.0
Sergipe,84398.0,JUN,2010.0
Bahia,506804.0,JUN,2010.0
Minas Gerais,861208.0,JUN,2010.0
Espírito Santo,177960.0,JUN,2010.0
Rio de Janeiro,1010512.0,JUN,2010.0
São Paulo,3056443.0,JUN,2010.0
Paraná,598192.0,JUN,2010.0
Santa Catarina,410601.0,JUN,2010.0
Rio Grande do Sul,651273.0,JUN,2010.0
Mato Grosso do Sul,120348.0,JUN,2010.0
Mato Grosso,184734.0,JUN,2010.0
Goiás,342791.0,JUN,2010.0
Distrito Federal,179281.0,JUN,2010.0
Rondônia,90202.0,JUL,2010.0
Acre,30557.0,JUL,2010.0
Amazonas,167968.0,JUL,2010.0
Roraima,31600.0,JUL,2010.0
Pará,281950.0,JUL,2010.0
Amapá,45535.0,JUL,2010.0
Tocantins,64899.0,JUL,2010.0
Maranhão,233173.0,JUL,2010.0
Piauí,121474.0,JUL,2010.0
Ceará,340403.0,JUL,2010.0
Rio Grande do Norte,157224.0,JUL,2010.0
Paraíba,139293.0,JUL,2010.0
Pernambuco,371937.0,JUL,2010.0
Alagoas,103176.0,JUL,2010.0
Sergipe,81796.0,JUL,2010.0
Bahia,524295.0,JUL,2010.0
Minas Gerais,872020.0,JUL,2010.0
Espírito Santo,184232.0,JUL,2010.0
Rio de Janeiro,1021902.0,JUL,2010.0
São Paulo,3216509.0,JUL,2010.0
Paraná,584472.0,JUL,2010.0
Santa Catarina,400940.0,JUL,2010.0
Rio Grande do Sul,705415.0,JUL,2010.0
Mato Grosso do Sul,124892.0,JUL,2010.0
Mato Grosso,182002.0,JUL,2010.0
Goiás,293820.0,JUL,2010.0
Distrito Federal,184172.0,JUL,2010.0
Rondônia,98172.0,AGO,2010.0
Acre,32025.0,AGO,2010.0
Amazonas,178266.0,AGO,2010.0
Roraima,30824.0,AGO,2010.0
Pará,284998.0,AGO,2010.0
Amapá,45133.0,AGO,2010.0
Tocantins,66004.0,AGO,2010.0
Maranhão,239474.0,AGO,2010.0
Piauí,120895.0,AGO,2010.0
Ceará,326297.0,AGO,2010.0
